StudentID,grad_year,sex,first_gen,admit_type,terms_enrl_ct,studied_away,major_ct,major1,major2,major3,major1_division,major2_division,major3_division,maj_Art,maj_Music,maj_TheaterDance,maj_AsianLanguagesCultures,maj_Classics,maj_English,maj_French,maj_German,maj_Russian,maj_History,maj_Linguistics,maj_Philosophy,maj_ReligiousStudies,maj_SpanishPortuguese,maj_AmericanStudies,maj_EducationalStudies,maj_EnvironmentalStudies,maj_InternationalStudies,maj_LatinAmericanStudies,maj_MediaCulturalStudies,maj_WomenGenderSexualityStudies,maj_Biology,maj_Chemistry,maj_Geology,maj_Mathematics,maj_NeuroscienceStudies,maj_Physics,maj_ComputerScience,maj_Anthropology,maj_Economics,maj_Geography,maj_PoliticalScience,maj_Psychology,maj_Sociology,concentration_ct,Conc1Desc,Conc2Desc,prefix_count,tot_enroll_ct,FineArts_count,Humanities_count,Interdisciplinary_count,NatScienceandMath_count,SocialSciences_count,NonDivisional_count,FineArts_3orfewer,Humanities_3orfewer,Interdisciplinary_3orfewer,NatScienceandMath_3orfewer,SocialSciences_3orfewer
1,2016-17,M, ,FYR,17,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,6,19,0,5,0,13,1,0,1,0,1,0,1
2,2013-14,F, ,FYR,14,0,1,Biology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,28,1,5,0,16,6,0,1,0,1,0,0
3,2014-15,F, ,FYR,14,0,2,Economics,Mathematics, ,Social Sciences,Natural Sciences and Mathematics, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0, , ,7,28,1,4,0,13,10,0,1,0,1,0,0
4,2016-17,M, ,FYR,17,0,1,English, , ,Humanities, , ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,31,5,19,1,0,6,0,0,0,1,1,0
5,2016-17,F, ,FYR,17,0,1,Sociology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , ,15,32,1,10,1,3,16,1,1,0,1,1,0
6,2013-14,M, ,FYR,12,0,1,Art, , ,Fine Arts, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,15,40,13,9,13,3,2,0,0,0,0,1,1
7,2013-14,M, ,TRN, ,0,2,Economics,Psychology, ,Social Sciences,Social Sciences, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0, , ,10,34,0,6,0,5,22,1,1,0,1,0,0
8,2013-14,F, ,FYR,12,0,2,English,Spanish/Portuguese (prior Hispanic Studies), ,Humanities,Humanities, ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,12,41,8,25,1,2,3,2,0,0,1,1,1
9,2013-14,F, ,FYR,10,0,1,Linguistics, , ,Humanities, , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,13,28,1,18,1,2,5,1,1,0,1,1,0
10,2013-14,M, ,FYR,12,0,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,11,34,1,16,3,3,11,0,1,0,1,1,0
11,2013-14,M, ,FYR,12,1,2,Political Science,German Studies, ,Social Sciences,Humanities, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,8,31,1,10,0,2,18,0,1,0,1,1,0
12,2014-15,F, ,TRN, ,0,1,Latin American Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,11,28,1,10,9,0,3,5,1,0,0,1,1
13,2017-18,M, ,FYR,17,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,10,29,1,3,0,8,16,1,1,1,1,0,0
14,2013-14,F, ,FYR,10,0,1,Psychology, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , ,15,38,1,5,0,10,18,4,1,0,1,0,0
15,2013-14,F, ,FYR,8,1,2,Media and Cultural Studies,Anthropology, ,Interdisciplinary,Social Sciences, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , ,12,38,0,5,17,1,12,3,1,0,0,1,0
16,2013-14,M, ,FYR,8,1,1,Art, , ,Fine Arts, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,10,33,14,11,1,2,2,3,0,0,1,1,1
17,2013-14,M, ,FYR,10,0,1,Media and Cultural Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Critical Theory, ,13,37,1,18,12,3,3,0,1,0,0,1,1
18,2015-16,M, ,FYR,14,0,1,Media and Cultural Studies, , ,Interdisciplinary, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,14,36,0,15,13,2,2,4,1,0,0,1,1
19,2016-17,M, ,FYR,16,1,1,Political Science, , ,Social Sciences, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, , ,8,44,13,8,1,2,17,3,0,0,1,1,0
20,2013-14,M, ,FYR,10,0,1,Geology, , ,Natural Sciences and Mathematics, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , ,15,30,1,6,4,15,4,0,1,0,0,0,0
